Iteration 1: c = ), s = srsts, state = 0
Iteration 2: c = x, s = eeers, state = 0
Iteration 3: c =  , s = steer, state = 0
Iteration 4: c =  , s = sssrr, state = 0
Iteration 5: c = a, s = rrtss, state = 0
Iteration 6: c = }, s = errrt, state = 0
Iteration 7: c = }, s = eetse, state = 0
Iteration 8: c = }, s = tteee, state = 0
Iteration 9: c = ], s = ttter, state = 0
Iteration 10: c = (, s = trtss, state = 0
Iteration 11: c = }, s = stsst, state = 0
Iteration 12: c = a, s = rettt, state = 0
Iteration 13: c = ], s = etrsr, state = 0
Iteration 14: c = (, s = ttrsr, state = 0
Iteration 15: c = }, s = etrrs, state = 0
Iteration 16: c = }, s = srset, state = 0
Iteration 17: c = (, s = ttsst, state = 0
Iteration 18: c = a, s = sress, state = 0
Iteration 19: c = {, s = terrt, state = 0
Iteration 20: c = (, s = rrrer, state = 0
Iteration 21: c =  , s = ttser, state = 0
Iteration 22: c = {, s = tteee, state = 0
Iteration 23: c = a, s = ttrrs, state = 0
Iteration 24: c = ), s = eetee, state = 0
Iteration 25: c = ], s = sssst, state = 0
Iteration 26: c = a, s = rsesr, state = 0
Iteration 27: c = [, s = rtrer, state = 0
Iteration 28: c =  , s = ereer, state = 1
Iteration 29: c = [, s = tsrst, state = 1
Iteration 30: c = (, s = rerst, state = 1
Iteration 31: c = ], s = rtess, state = 2
Iteration 32: c = x, s = tsrrt, state = 2
Iteration 33: c = [, s = erese, state = 2
Iteration 34: c = a, s = ertss, state = 2
Iteration 35: c = x, s = rsrrr, state = 2
Iteration 36: c = a, s = trtrs, state = 2
Iteration 37: c = }, s = sstss, state = 2
Iteration 38: c =  , s = ttsrs, state = 2
Iteration 39: c =  , s = sttee, state = 2
Iteration 40: c = [, s = retee, state = 2
Iteration 41: c = a, s = errre, state = 2
Iteration 42: c = ], s = stree, state = 2
Iteration 43: c = [, s = resse, state = 2
Iteration 44: c = a, s = sttee, state = 2
Iteration 45: c = x, s = tesss, state = 2
Iteration 46: c = (, s = strsr, state = 2
Iteration 47: c = ], s = rsret, state = 2
Iteration 48: c = x, s = tttes, state = 2
Iteration 49: c = a, s = erree, state = 2
Iteration 50: c = (, s = srsrt, state = 2
Iteration 51: c = a, s = reret, state = 2
Iteration 52: c = a, s = ststr, state = 2
Iteration 53: c = ), s = erere, state = 2
Iteration 54: c = ], s = rttrr, state = 2
Iteration 55: c =  , s = esers, state = 2
Iteration 56: c = [, s = eteer, state = 2
